price,area,num_of_bedroom,num_of_wc,location
18 triệu/tháng,75 m²,2,2,·Quận 2, Hồ Chí Minh
18 triệu/tháng,75 m²,2,2,·Quận 4, Hồ Chí Minh
18 triệu/tháng,75 m²,2,2,·Quận 2, Hồ Chí Minh
18 triệu/tháng,75 m²,2,2,·Quận 2, Hồ Chí Minh
18 triệu/tháng,75 m²,2,2,·Quận 4, Hồ Chí Minh
18 triệu/tháng,75 m²,2,2,·Quận 3, Hồ Chí Minh
18 triệu/tháng,75 m²,2,2,·Quận 7, Hồ Chí Minh
18 triệu/tháng,75 m²,2,2,·Quận 7, Hồ Chí Minh
18 triệu/tháng,75 m²,2,2,·Quận 9, Hồ Chí Minh
18 triệu/tháng,75 m²,2,2,·Quận 7, Hồ Chí Minh
18 triệu/tháng,75 m²,2,2,·Quận 1, Hồ Chí Minh
18 triệu/tháng,75 m²,2,2,·Quận 7, Hồ Chí Minh
18 triệu/tháng,75 m²,2,2,·Quận 7, Hồ Chí Minh
18 triệu/tháng,75 m²,2,2,·Quận 7, Hồ Chí Minh
18 triệu/tháng,75 m²,2,2,·Quận 4, Hồ Chí Minh
18 triệu/tháng,75 m²,2,2,·Quận 4, Hồ Chí Minh
18 triệu/tháng,75 m²,2,2,·Văn Giang, Hưng Yên
18 triệu/tháng,75 m²,2,2,·Quận 2, Hồ Chí Minh
18 triệu/tháng,75 m²,2,2,·Hai Bà Trưng, Hà Nội
18 triệu/tháng,75 m²,2,2,·Tân Bình, Hồ Chí Minh
Giá thỏa thuận,104.700 m²,2,8,·Cần Giuộc, Long An
Giá thỏa thuận,104.700 m²,2,8,·Quận 10, Hồ Chí Minh
Giá thỏa thuận,104.700 m²,2,8,·Hai Bà Trưng, Hà Nội
Giá thỏa thuận,104.700 m²,2,8,·Quận 2, Hồ Chí Minh
Giá thỏa thuận,104.700 m²,2,8,·Quận 7, Hồ Chí Minh
Giá thỏa thuận,104.700 m²,2,8,·Thuận An, Bình Dương
Giá thỏa thuận,104.700 m²,2,8,·Văn Giang, Hưng Yên
Giá thỏa thuận,104.700 m²,2,8,·Quận 1, Hồ Chí Minh
Giá thỏa thuận,104.700 m²,2,8,·Dĩ An, Bình Dương
Giá thỏa thuận,104.700 m²,2,8,·Quận 7, Hồ Chí Minh
Giá thỏa thuận,104.700 m²,2,8,·Quận 8, Hồ Chí Minh
Giá thỏa thuận,104.700 m²,2,8,·Bình Thạnh, Hồ Chí Minh
Giá thỏa thuận,104.700 m²,2,8,·Quận 9, Hồ Chí Minh
Giá thỏa thuận,104.700 m²,2,8,·Tây Hồ, Hà Nội
Giá thỏa thuận,104.700 m²,2,8,·Quận 9, Hồ Chí Minh
Giá thỏa thuận,104.700 m²,2,8,·Nam Từ Liêm, Hà Nội
Giá thỏa thuận,104.700 m²,2,8,·Quận 4, Hồ Chí Minh
Giá thỏa thuận,104.700 m²,2,8,·Quận 7, Hồ Chí Minh
Giá thỏa thuận,104.700 m²,2,8,·Hoàn Kiếm, Hà Nội
Giá thỏa thuận,104.700 m²,2,8,·Hai Bà Trưng, Hà Nội
Giá thỏa thuận,531 m²,2,2,·Tân Bình, Hồ Chí Minh
Giá thỏa thuận,531 m²,2,2,·Bình Tân, Hồ Chí Minh
Giá thỏa thuận,531 m²,2,2,·Bình Thạnh, Hồ Chí Minh
Giá thỏa thuận,531 m²,2,2,·Quận 2, Hồ Chí Minh
